epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2830.32,0.82733,1.47624,0.62286,1.09396,0.94063,0.9097,0.96632,0.75797,0.94861,0.90854,0.9675,0.70543,0.81179,1.34635,0.48243,1.09219,0.007096,0.007096,0.007096
90,2861.45,0.8363,1.47209,0.61392,1.09131,0.94836,0.91456,0.9697,0.76124,0.94803,0.91769,0.97115,0.70536,0.81367,1.32615,0.47019,1.09046,0.007063,0.007063,0.007063
91,2892.8,0.83233,1.48743,0.62367,1.09528,0.96207,0.90295,0.96929,0.7639,0.96095,0.90396,0.96912,0.70326,0.81275,1.35366,0.47165,1.0894,0.00703,0.00703,0.00703
92,2924.15,0.83063,1.48043,0.61849,1.09857,0.95042,0.91553,0.96737,0.75886,0.95151,0.91734,0.96896,0.7073,0.80674,1.33053,0.47737,1.07864,0.006997,0.006997,0.006997
93,2955.91,0.82155,1.4747,0.60383,1.0852,0.93855,0.92327,0.96883,0.76617,0.94165,0.92632,0.97033,0.70781,0.78626,1.32525,0.47254,1.06913,0.006964,0.006964,0.006964
94,2987.02,0.81728,1.46998,0.60767,1.08564,0.95643,0.91465,0.97026,0.76121,0.95961,0.91756,0.97012,0.70895,0.8019,1.31766,0.47378,1.08195,0.006931,0.006931,0.006931
95,3018.19,0.81448,1.45341,0.60707,1.0793,0.95498,0.91667,0.97013,0.76945,0.95869,0.91988,0.97095,0.71109,0.79054,1.31196,0.46121,1.07325,0.006898,0.006898,0.006898
96,3049.62,0.8211,1.45778,0.6056,1.08277,0.9571,0.91819,0.96933,0.76792,0.95763,0.91869,0.96904,0.71157,0.79043,1.31972,0.45498,1.07669,0.006865,0.006865,0.006865
97,3081.32,0.80261,1.45765,0.5918,1.07666,0.9469,0.92417,0.97051,0.76956,0.94623,0.92429,0.9698,0.71189,0.78846,1.31964,0.46004,1.07735,0.006832,0.006832,0.006832
98,3112.95,0.8026,1.43752,0.58969,1.08098,0.95883,0.91112,0.97084,0.77411,0.95832,0.91118,0.96915,0.71403,0.77674,1.30643,0.45734,1.06945,0.006799,0.006799,0.006799
99,3144.47,0.80372,1.44043,0.5891,1.07498,0.95732,0.91819,0.97095,0.77527,0.95625,0.91972,0.97072,0.71411,0.77486,1.30706,0.45318,1.06895,0.006766,0.006766,0.006766
100,3175.95,0.81003,1.44961,0.59185,1.07868,0.96509,0.91313,0.97179,0.77581,0.96828,0.91514,0.97479,0.71597,0.78411,1.30346,0.44674,1.07038,0.006733,0.006733,0.006733
101,3207.3,0.79686,1.43996,0.58335,1.07543,0.94361,0.93039,0.97163,0.77407,0.9596,0.91972,0.97265,0.71515,0.77727,1.30001,0.44764,1.06743,0.0067,0.0067,0.0067
102,3239.04,0.80437,1.4439,0.58462,1.07767,0.95334,0.92429,0.9714,0.77864,0.95536,0.9243,0.97128,0.71504,0.76914,1.31252,0.44721,1.06425,0.006667,0.006667,0.006667
103,3270.15,0.80006,1.4361,0.58416,1.07498,0.95036,0.92429,0.97166,0.7808,0.9551,0.9248,0.97147,0.72066,0.7616,1.30145,0.44501,1.05545,0.006634,0.006634,0.006634
104,3301.5,0.80168,1.43508,0.57626,1.07671,0.951,0.92226,0.97239,0.77539,0.95205,0.92327,0.97276,0.71602,0.77277,1.29488,0.44592,1.0613,0.006601,0.006601,0.006601
105,3332.77,0.7915,1.41602,0.57148,1.06824,0.95635,0.91296,0.97395,0.78196,0.95399,0.91661,0.97147,0.72098,0.75927,1.29384,0.44229,1.05446,0.006568,0.006568,0.006568
106,3364.27,0.79445,1.4212,0.58194,1.07344,0.95753,0.91644,0.96946,0.77757,0.96003,0.91529,0.97064,0.71961,0.74966,1.28116,0.44295,1.04621,0.006535,0.006535,0.006535
107,3395.58,0.7859,1.41304,0.56611,1.07043,0.95691,0.91565,0.97167,0.77987,0.96054,0.91531,0.97124,0.71666,0.75927,1.29401,0.44537,1.04999,0.006502,0.006502,0.006502
108,3426.89,0.78719,1.43463,0.5754,1.06791,0.95503,0.92809,0.97371,0.78652,0.95346,0.92657,0.97106,0.72254,0.75083,1.28629,0.43428,1.04978,0.006469,0.006469,0.006469
109,3458.08,0.79121,1.42211,0.57354,1.06533,0.96786,0.91972,0.9733,0.78538,0.96893,0.92073,0.97352,0.7235,0.75147,1.27995,0.43517,1.04943,0.006436,0.006436,0.006436
110,3489.59,0.79161,1.42185,0.57387,1.0694,0.96291,0.92683,0.97382,0.78785,0.96558,0.92645,0.97393,0.7264,0.74817,1.27214,0.43493,1.04941,0.006403,0.006403,0.006403
111,3521.37,0.78344,1.41743,0.56518,1.06728,0.94877,0.9314,0.97463,0.78545,0.95602,0.93242,0.97481,0.72784,0.75518,1.27084,0.43886,1.05378,0.00637,0.00637,0.00637
112,3553.24,0.77605,1.40602,0.57193,1.06562,0.96492,0.92249,0.97382,0.78633,0.96496,0.92175,0.97234,0.72626,0.74778,1.26443,0.43263,1.05199,0.006337,0.006337,0.006337
113,3584.83,0.7705,1.39632,0.5613,1.05675,0.95916,0.93648,0.97372,0.78752,0.9589,0.93648,0.9734,0.72761,0.74702,1.26405,0.43088,1.04927,0.006304,0.006304,0.006304
114,3616.15,0.77445,1.40991,0.56478,1.06211,0.95982,0.93089,0.9751,0.79069,0.96087,0.93191,0.97474,0.72821,0.73812,1.27471,0.42927,1.04236,0.006271,0.006271,0.006271
115,3647.78,0.76969,1.39448,0.55588,1.06068,0.96404,0.92634,0.97349,0.78991,0.95727,0.93345,0.97441,0.72843,0.74116,1.25995,0.42661,1.05091,0.006238,0.006238,0.006238
116,3679.39,0.77044,1.38571,0.5568,1.05988,0.95754,0.93547,0.97474,0.79323,0.9578,0.93547,0.97385,0.72994,0.73603,1.25835,0.42254,1.04233,0.006205,0.006205,0.006205
117,3710.89,0.77031,1.3913,0.55253,1.0581,0.95693,0.9371,0.97648,0.79251,0.95582,0.93852,0.97552,0.72942,0.73339,1.26363,0.42159,1.03799,0.006172,0.006172,0.006172
118,3742.15,0.76589,1.3891,0.55479,1.0579,0.95964,0.93242,0.97581,0.79534,0.95964,0.93242,0.97523,0.7323,0.72711,1.25302,0.42012,1.0342,0.006139,0.006139,0.006139
119,3773.63,0.75975,1.38432,0.5473,1.05395,0.9649,0.93576,0.97697,0.79484,0.9664,0.93523,0.97596,0.73342,0.73292,1.24622,0.41616,1.03796,0.006106,0.006106,0.006106
120,3804.89,0.76056,1.37937,0.55361,1.05366,0.96449,0.93242,0.97808,0.7974,0.96413,0.93293,0.97607,0.73644,0.72475,1.24329,0.4127,1.03054,0.006073,0.006073,0.006073
121,3836.29,0.75392,1.3818,0.53883,1.04732,0.96421,0.93598,0.97728,0.79582,0.96405,0.9375,0.97603,0.73596,0.72317,1.23888,0.40982,1.03022,0.00604,0.00604,0.00604
122,3867.52,0.76331,1.38077,0.54984,1.05772,0.9702,0.92629,0.97582,0.79617,0.97178,0.92632,0.97541,0.73534,0.72034,1.23096,0.41412,1.03135,0.006007,0.006007,0.006007
123,3898.91,0.7508,1.372,0.54512,1.05082,0.96628,0.93242,0.97599,0.7937,0.96808,0.93242,0.97592,0.73493,0.71935,1.22437,0.40944,1.03159,0.005974,0.005974,0.005974
124,3930.57,0.75866,1.37064,0.54462,1.05302,0.97399,0.93241,0.97688,0.79632,0.97399,0.93241,0.977,0.73566,0.71896,1.22313,0.40817,1.02903,0.005941,0.005941,0.005941
125,3962.02,0.75851,1.37278,0.54528,1.05194,0.96895,0.93566,0.97745,0.80033,0.97001,0.93682,0.97685,0.74042,0.71916,1.22774,0.40778,1.03049,0.005908,0.005908,0.005908
126,3993.58,0.75297,1.36869,0.54188,1.04911,0.96879,0.93057,0.97736,0.80126,0.9709,0.9326,0.97671,0.74118,0.72121,1.22662,0.40607,1.03096,0.005875,0.005875,0.005875
127,4025.15,0.74662,1.35863,0.53632,1.04059,0.96765,0.94227,0.97554,0.79941,0.96723,0.94512,0.97645,0.74095,0.71295,1.21872,0.4008,1.02532,0.005842,0.005842,0.005842
128,4056.89,0.75261,1.35391,0.53666,1.04992,0.96654,0.93938,0.97523,0.80023,0.9667,0.93953,0.97529,0.7426,0.70679,1.217,0.40324,1.02322,0.005809,0.005809,0.005809
129,4088.4,0.7461,1.35996,0.52991,1.05234,0.96603,0.93547,0.97507,0.80056,0.96737,0.93391,0.97483,0.74112,0.70291,1.21364,0.40291,1.02139,0.005776,0.005776,0.005776
